uid,type,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
u00,pre,75.0,57.77777777777778,60.0,62.5,90.0
u01,pre,62.5,75.55555555555556,88.88888888888889,55.0,78.0
u02,pre,42.5,60.0,84.44444444444444,70.0,64.0
u03,pre,42.5,64.44444444444444,77.77777777777777,67.5,54.0
u04,pre,47.5,62.22222222222222,53.33333333333333,82.5,58.0
u05,pre,62.5,75.55555555555556,88.88888888888889,55.0,66.0
u08,pre,52.5,75.55555555555556,84.44444444444444,65.0,66.0
u09,pre,47.5,91.11111111111111,53.33333333333333,42.5,66.0
u10,pre,40.0,26.666666666666664,95.55555555555556,67.5,72.0
u12,pre,57.5,71.11111111111111,73.33333333333333,57.5,68.0
u13,pre,67.5,71.11111111111111,48.88888888888889,67.5,86.0
u15,pre,65.0,71.11111111111111,62.22222222222222,55.0,60.0
u16,pre,35.0,66.66666666666667,71.11111111111111,85.0,76.0
u17,pre,52.5,77.77777777777777,66.66666666666667,62.5,90.0
u18,pre,52.5,44.44444444444444,64.44444444444444,75.0,50.0
u19,pre,35.0,62.22222222222222,68.88888888888889,72.5,64.0
u20,pre,77.5,86.66666666666666,66.66666666666667,47.5,72.0
u22,pre,72.5,68.88888888888889,91.11111111111111,57.5,76.0
u24,pre,70.0,53.33333333333333,46.66666666666667,62.5,70.0
u27,pre,50.0,77.77777777777777,53.33333333333333,62.5,66.0
u30,pre,90.0,82.22222222222221,88.88888888888889,40.0,72.0
u31,pre,85.0,77.77777777777777,57.77777777777778,62.5,74.0
u32,pre,85.0,84.44444444444444,86.66666666666666,35.0,74.0
u33,pre,57.5,66.66666666666667,37.77777777777778,72.5,92.0
u34,pre,65.0,86.66666666666666,62.22222222222222,57.5,66.0
u35,pre,52.5,77.77777777777777,71.11111111111111,52.5,68.0
u36,pre,70.0,82.22222222222221,75.55555555555556,35.0,70.0
u39,pre,67.5,66.66666666666667,62.22222222222222,60.0,70.0
u42,pre,62.5,84.44444444444444,48.88888888888889,50.0,78.0
u43,pre,47.5,82.22222222222221,84.44444444444444,50.0,66.0
u44,pre,67.5,73.33333333333333,75.55555555555556,45.0,72.0
u45,pre,75.0,73.33333333333333,68.88888888888889,62.5,74.0
u46,pre,62.5,62.22222222222222,71.11111111111111,70.0,84.0
u47,pre,87.5,64.44444444444444,68.88888888888889,40.0,76.0
u49,pre,57.5,84.44444444444444,73.33333333333333,50.0,86.0
u50,pre,77.5,66.66666666666667,71.11111111111111,50.0,70.0
u51,pre,67.5,75.55555555555556,75.55555555555556,55.0,80.0
u52,pre,32.5,66.66666666666667,44.44444444444444,82.5,70.0
u53,pre,45.0,80.0,57.77777777777778,90.0,88.0
u56,pre,32.5,82.22222222222221,66.66666666666667,40.0,82.0
u57,pre,42.5,80.0,64.44444444444444,42.5,54.0
u58,pre,42.5,86.66666666666666,71.11111111111111,77.5,72.0
u59,pre,80.0,82.22222222222221,51.11111111111111,57.5,70.0
